"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2759","https://leetcode.com/problems/convert-json-string-to-object","Convert JSON String to Object","Hard","62.0%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"739","https://leetcode.com/problems/daily-temperatures","Daily Temperatures","Medium","68.7%","75.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"3446","https://leetcode.com/problems/sort-matrix-by-diagonals","Sort Matrix by Diagonals","Medium","84.7%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1646","https://leetcode.com/problems/get-maximum-in-generated-array","Get Maximum in Generated Array","Easy","51.5%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1756","https://leetcode.com/problems/design-most-recently-used-queue","Design Most Recently Used Queue","Medium","78.3%","100.0%","Stack / Queue; Design","Monotonic Stack / Simulation; Data Structure Design","High","Must revise; common company/OA pattern."
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
