"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1864","https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-binary-string-alternating","Minimum Number of Swaps to Make the Binary String Alternating","Medium","43.9%","100.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"17","https://leetcode.com/problems/letter-combinations-of-a-phone-number","Letter Combinations of a Phone Number","Medium","66.1%","62.5%","Strings; Backtracking","Hashing / Sliding Window; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
