"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"432","https://leetcode.com/problems/all-oone-data-structure","All O`one Data Structure","Hard","44.3%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"353","https://leetcode.com/problems/design-snake-game","Design Snake Game","Medium","40.0%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"79","https://leetcode.com/problems/word-search","Word Search","Medium","47.4%","87.5%","Strings; Binary Search","Hashing / Sliding Window; Binary Search","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1676","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv","Lowest Common Ancestor of a Binary Tree IV","Medium","79.6%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
