"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"227","https://leetcode.com/problems/basic-calculator-ii","Basic Calculator II","Medium","46.9%","100.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"224","https://leetcode.com/problems/basic-calculator","Basic Calculator","Hard","46.9%","100.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
