"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1885","https://leetcode.com/problems/count-pairs-in-two-arrays","Count Pairs in Two Arrays","Medium","60.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"546","https://leetcode.com/problems/remove-boxes","Remove Boxes","Hard","49.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
