"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"724","https://leetcode.com/problems/find-pivot-index","Find Pivot Index","Easy","62.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1962","https://leetcode.com/problems/remove-stones-to-minimize-the-total","Remove Stones to Minimize the Total","Medium","65.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"227","https://leetcode.com/problems/basic-calculator-ii","Basic Calculator II","Medium","46.9%","100.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"460","https://leetcode.com/problems/lfu-cache","LFU Cache","Hard","49.2%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"895","https://leetcode.com/problems/maximum-frequency-stack","Maximum Frequency Stack","Hard","66.8%","100.0%","Arrays; Stack / Queue","Sorting / Prefix / Scan; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
