"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1694","https://leetcode.com/problems/reformat-phone-number","Reformat Phone Number","Easy","67.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"394","https://leetcode.com/problems/decode-string","Decode String","Medium","62.6%","75.0%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"2964","https://leetcode.com/problems/number-of-divisible-triplet-sums","Number of Divisible Triplet Sums","Medium","67.6%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
