"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"3463","https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii","Check If Digits Are Equal in String After Operations II","Hard","14.4%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
