"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2616","https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs","Minimize the Maximum Difference of Pairs","Medium","51.0%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","100.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","100.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
