"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"476","https://leetcode.com/problems/number-complement","Number Complement","Easy","70.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1009","https://leetcode.com/problems/complement-of-base-10-integer","Complement of Base 10 Integer","Easy","63.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1061","https://leetcode.com/problems/lexicographically-smallest-equivalent-string","Lexicographically Smallest Equivalent String","Medium","81.2%","100.0%","Strings; Graphs","Hashing / Sliding Window; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
