"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1397","https://leetcode.com/problems/find-all-good-strings","Find All Good Strings","Hard","45.4%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1698","https://leetcode.com/problems/number-of-distinct-substrings-in-a-string","Number of Distinct Substrings in a String","Medium","64.8%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"1639","https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary","Number of Ways to Form a Target String Given a Dictionary","Hard","56.5%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1690","https://leetcode.com/problems/stone-game-vii","Stone Game VII","Medium","58.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1664","https://leetcode.com/problems/ways-to-make-a-fair-array","Ways to Make a Fair Array","Medium","66.9%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1420","https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons","Build Array Where You Can Find The Maximum Exactly K Comparisons","Hard","65.7%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
