"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2607","https://leetcode.com/problems/make-k-subarray-sums-equal","Make K-Subarray Sums Equal","Medium","38.6%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"588","https://leetcode.com/problems/design-in-memory-file-system","Design In-Memory File System","Hard","48.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
