"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1893","https://leetcode.com/problems/check-if-all-the-integers-in-a-range-are-covered","Check if All the Integers in a Range Are Covered","Easy","51.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
