"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"295","https://leetcode.com/problems/find-median-from-data-stream","Find Median from Data Stream","Hard","54.5%","100.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"1801","https://leetcode.com/problems/number-of-orders-in-the-backlog","Number of Orders in the Backlog","Medium","54.0%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"348","https://leetcode.com/problems/design-tic-tac-toe","Design Tic-Tac-Toe","Medium","58.7%","87.5%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"155","https://leetcode.com/problems/min-stack","Min Stack","Medium","58.2%","75.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"150","https://leetcode.com/problems/evaluate-reverse-polish-notation","Evaluate Reverse Polish Notation","Medium","57.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1244","https://leetcode.com/problems/design-a-leaderboard","Design A Leaderboard","Medium","68.1%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"3484","https://leetcode.com/problems/design-spreadsheet","Design Spreadsheet","Medium","74.1%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"2050","https://leetcode.com/problems/parallel-courses-iii","Parallel Courses III","Hard","66.8%","87.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
