"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"210","https://leetcode.com/problems/course-schedule-ii","Course Schedule II","Medium","55.5%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"76","https://leetcode.com/problems/minimum-window-substring","Minimum Window Substring","Hard","47.5%","100.0%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
