"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"150","https://leetcode.com/problems/evaluate-reverse-polish-notation","Evaluate Reverse Polish Notation","Medium","57.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2138","https://leetcode.com/problems/divide-a-string-into-groups-of-size-k","Divide a String Into Groups of Size k","Easy","77.1%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
