"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"736","https://leetcode.com/problems/parse-lisp-expression","Parse Lisp Expression","Hard","53.5%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1209","https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii","Remove All Adjacent Duplicates in String II","Medium","61.3%","100.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"273","https://leetcode.com/problems/integer-to-english-words","Integer to English Words","Hard","35.0%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"680","https://leetcode.com/problems/valid-palindrome-ii","Valid Palindrome II","Easy","44.3%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"724","https://leetcode.com/problems/find-pivot-index","Find Pivot Index","Easy","62.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"34","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","Find First and Last Position of Element in Sorted Array","Medium","48.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
