"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"202","https://leetcode.com/problems/happy-number","Happy Number","Easy","59.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2275","https://leetcode.com/problems/largest-combination-with-bitwise-and-greater-than-zero","Largest Combination With Bitwise AND Greater Than Zero","Medium","80.8%","87.5%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"60","https://leetcode.com/problems/permutation-sequence","Permutation Sequence","Hard","53.1%","87.5%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"572","https://leetcode.com/problems/subtree-of-another-tree","Subtree of Another Tree","Easy","51.6%","87.5%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
