"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2901","https://leetcode.com/problems/longest-unequal-adjacent-groups-subsequence-ii","Longest Unequal Adjacent Groups Subsequence II","Medium","51.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2419","https://leetcode.com/problems/longest-subarray-with-maximum-bitwise-and","Longest Subarray With Maximum Bitwise AND","Medium","65.4%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2900","https://leetcode.com/problems/longest-unequal-adjacent-groups-subsequence-i","Longest Unequal Adjacent Groups Subsequence I","Easy","66.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
