"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"3412","https://leetcode.com/problems/find-mirror-score-of-a-string","Find Mirror Score of a String","Medium","35.8%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
