"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2058","https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points","Find the Minimum and Maximum Number of Nodes Between Critical Points","Medium","69.5%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"3334","https://leetcode.com/problems/find-the-maximum-factor-score-of-array","Find the Maximum Factor Score of Array","Medium","41.1%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"815","https://leetcode.com/problems/bus-routes","Bus Routes","Hard","47.3%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1476","https://leetcode.com/problems/subrectangle-queries","Subrectangle Queries","Medium","86.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"3265","https://leetcode.com/problems/count-almost-equal-pairs-i","Count Almost Equal Pairs I","Medium","38.3%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2032","https://leetcode.com/problems/two-out-of-three","Two Out of Three","Easy","77.6%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"75","https://leetcode.com/problems/sort-colors","Sort Colors","Medium","69.6%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
