"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"990","https://leetcode.com/problems/satisfiability-of-equality-equations","Satisfiability of Equality Equations","Medium","51.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1722","https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations","Minimize Hamming Distance After Swap Operations","Medium","69.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1438","https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit","Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit","Medium","57.7%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
